timestamp,road_id,road_name,traffic_level
2024-05-01 00:00:00,"(32927563, 4377020523, 0)",San Francisco – Oakland Bay Bridge,2
2024-05-01 01:00:00,"(32927563, 4377020523, 0)",San Francisco – Oakland Bay Bridge,3
2024-05-01 02:00:00,"(32927563, 4377020523, 0)",San Francisco – Oakland Bay Bridge,1
2024-05-01 03:00:00,"(32927563, 4377020523, 0)",San Francisco – Oakland Bay Bridge,1
2024-05-01 04:00:00,"(32927563, 4377020523, 0)",San Francisco – Oakland Bay Bridge,1
2024-05-01 05:00:00,"(32927563, 4377020523, 0)",San Francisco – Oakland Bay Bridge,2
2024-05-01 06:00:00,"(32927563, 4377020523, 0)",San Francisco – Oakland Bay Bridge,2
2024-05-01 07:00:00,"(32927563, 4377020523, 0)",San Francisco – Oakland Bay Bridge,3
2024-05-01 08:00:00,"(32927563, 4377020523, 0)",San Francisco – Oakland Bay Bridge,4
2024-05-01 09:00:00,"(32927563, 4377020523, 0)",San Francisco – Oakland Bay Bridge,3
2024-05-01 10:00:00,"(32927563, 4377020523, 0)",San Francisco – Oakland Bay Bridge,1
2024-05-01 11:00:00,"(32927563, 4377020523, 0)",San Francisco – Oakland Bay Bridge,2
2024-05-01 12:00:00,"(32927563, 4377020523, 0)",San Francisco – Oakland Bay Bridge,1
2024-05-01 13:00:00,"(32927563, 4377020523, 0)",San Francisco – Oakland Bay Bridge,1
2024-05-01 14:00:00,"(32927563, 4377020523, 0)",San Francisco – Oakland Bay Bridge,1
2024-05-01 15:00:00,"(32927563, 4377020523, 0)",San Francisco – Oakland Bay Bridge,1
2024-05-01 16:00:00,"(32927563, 4377020523, 0)",San Francisco – Oakland Bay Bridge,4
2024-05-01 17:00:00,"(32927563, 4377020523, 0)",San Francisco – Oakland Bay Bridge,2
2024-05-01 18:00:00,"(32927563, 4377020523, 0)",San Francisco – Oakland Bay Bridge,4
2024-05-01 19:00:00,"(32927563, 4377020523, 0)",San Francisco – Oakland Bay Bridge,1
2024-05-01 20:00:00,"(32927563, 4377020523, 0)",San Francisco – Oakland Bay Bridge,1
2024-05-01 21:00:00,"(32927563, 4377020523, 0)",San Francisco – Oakland Bay Bridge,2
2024-05-01 22:00:00,"(32927563, 4377020523, 0)",San Francisco – Oakland Bay Bridge,1
2024-05-01 23:00:00,"(32927563, 4377020523, 0)",San Francisco – Oakland Bay Bridge,1
2024-05-02 00:00:00,"(32927563, 4377020523, 0)",San Francisco – Oakland Bay Bridge,2
2024-05-02 01:00:00,"(32927563, 4377020523, 0)",San Francisco – Oakland Bay Bridge,1
2024-05-02 02:00:00,"(32927563, 4377020523, 0)",San Francisco – Oakland Bay Bridge,1
2024-05-02 03:00:00,"(32927563, 4377020523, 0)",San Francisco – Oakland Bay Bridge,2
2024-05-02 04:00:00,"(32927563, 4377020523, 0)",San Francisco – Oakland Bay Bridge,1
2024-05-02 05:00:00,"(32927563, 4377020523, 0)",San Francisco – Oakland Bay Bridge,1
2024-05-02 06:00:00,"(32927563, 4377020523, 0)",San Francisco – Oakland Bay Bridge,3
2024-05-02 07:00:00,"(32927563, 4377020523, 0)",San Francisco – Oakland Bay Bridge,3
2024-05-02 08:00:00,"(32927563, 4377020523, 0)",San Francisco – Oakland Bay Bridge,3
2024-05-02 09:00:00,"(32927563, 4377020523, 0)",San Francisco – Oakland Bay Bridge,3
2024-05-02 10:00:00,"(32927563, 4377020523, 0)",San Francisco – Oakland Bay Bridge,2
2024-05-02 11:00:00,"(32927563, 4377020523, 0)",San Francisco – Oakland Bay Bridge,2
2024-05-02 12:00:00,"(32927563, 4377020523, 0)",San Francisco – Oakland Bay Bridge,3
